step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
593,0.10912,0.98148,,
594,0.07607,0.98148,,
595,0.09187,0.98148,,
596,0.02545,0.98148,,
597,0.03735,0.98148,,
598,0.01476,1.0,,
599,0.01384,1.0,,
600,0.00146,1.0,,
601,0.04458,0.98148,0.06616,0.64815
602,0.00128,1.0,,
603,0.00168,1.0,,
604,0.03442,0.98148,,
605,0.00318,1.0,,
606,0.00389,1.0,,
607,0.00087,1.0,,
608,0.11116,0.94444,,
609,0.11148,0.98148,,
610,0.00182,1.0,,
611,0.00699,1.0,,
612,0.01189,1.0,,
613,0.00152,1.0,,
614,0.08344,0.98148,,
615,0.04418,0.98148,,
616,0.10003,0.98148,,
617,0.15994,0.98148,,
618,0.11361,0.96296,,
619,0.00917,1.0,,
620,0.0895,0.98148,,
621,0.00012,1.0,,
622,0.17327,0.96296,,
623,0.08414,0.98148,,
624,0.00298,1.0,,
625,0.00692,1.0,,
626,0.07809,0.98148,,
627,0.00229,1.0,,
628,0.16561,0.96296,,
629,7e-05,1.0,,
630,0.07586,0.96296,,
631,0.0221,1.0,,
632,0.08857,0.98148,,
633,6e-05,1.0,,
634,0.00089,1.0,,
635,0.01041,1.0,,
636,0.31637,0.96296,,
637,0.00309,1.0,,
638,0.17236,0.96296,,
639,0.03197,0.98148,,
640,0.00169,1.0,,
641,0.00288,1.0,,
642,0.09826,0.94444,,
643,0.1278,0.94444,,
644,0.00404,1.0,,
645,0.10815,0.96296,,
646,0.18692,0.98148,,
647,0.04224,0.98148,,
648,0.39185,0.92593,,
649,0.1078,0.98148,,
650,0.01625,0.98148,,
651,0.17089,0.98148,,
652,0.02072,0.98148,,
653,0.0023,1.0,,
654,0.05058,0.96296,,
655,0.00162,1.0,,
656,0.11835,0.96296,,
657,0.19827,0.96296,,
658,0.00953,1.0,,
659,0.15516,0.96296,,
660,0.00417,1.0,,
661,0.10901,0.98148,,
662,0.21688,0.96296,,
663,0.02118,1.0,,
664,0.09549,0.98148,,
665,0.03125,0.98148,,
666,0.02093,0.98148,,
667,0.00391,1.0,,
668,0.01122,1.0,,
669,0.02665,0.98148,,
670,0.00206,1.0,,
671,0.00629,1.0,,
672,0.02091,0.98148,,
673,0.05189,0.98148,,
